Start Station Name,Ride Count,Latitude,Longitude
Streeter Dr & Grand Ave,52624,41.8921646277414,-87.6100483646326
DuSable Lake Shore Dr & Monroe St,29958,41.8811439583870,-87.6175174605844
Michigan Ave & Oak St,23181,41.9009577809756,-87.6242282740776
Millennium Park,23035,41.8827161492376,-87.6225631238074
DuSable Lake Shore Dr & North Blvd,21484,41.8796613750410,87.6171743875724
Shedd Aquarium,18989,41.8677483433120,-87.6140272740788
Theater on the Lake,16887,41.9272303039039,-87.6306163893031
Wells St & Concord Ln,14386,41.9120877690299,-87.6347443029125
Dusable Harbor,13345,41.8845851036728,-87.6131926641542
Indiana Ave & Roosevelt Rd,12628,41.8676117230245,-87.6226357164082